date,day,team_1,team_2,place,number,year,month,dayofweek
2025-07-30,수,LG,KT,잠실,17782.0,2025,7,2
2025-07-31,목,LG,KT,잠실,17630.0,2025,7,3
2025-08-01,금,두산,SSG,잠실,15073.0,2025,8,4
2025-08-02,토,두산,SSG,잠실,17278.0,2025,8,5
2025-08-03,일,두산,SSG,잠실,14422.0,2025,8,6
2025-08-05,화,LG,두산,잠실,20239.0,2025,8,1
2025-08-06,수,LG,두산,잠실,20427.0,2025,8,2
2025-08-07,목,LG,두산,잠실,21392.0,2025,8,3
2025-08-08,금,LG,한화,잠실,23750.0,2025,8,4
2025-08-09,토,LG,한화,잠실,23750.0,2025,8,5
2025-08-10,일,LG,한화,잠실,23750.0,2025,8,6
2025-08-12,화,두산,NC,잠실,11590.0,2025,8,1
2025-08-14,목,두산,NC,잠실,10938.0,2025,8,3
2025-08-15,금,두산,KIA,잠실,23750.0,2025,8,4
2025-08-16,토,두산,KIA,잠실,23750.0,2025,8,5
2025-08-17,일,두산,KIA,잠실,23750.0,2025,8,6
2025-08-19,화,LG,롯데,잠실,23750.0,2025,8,1
2025-08-20,수,LG,롯데,잠실,23750.0,2025,8,2
2025-08-21,목,LG,롯데,잠실,23750.0,2025,8,3
2025-08-22,금,두산,KT,잠실,16397.0,2025,8,4
2025-08-23,토,두산,KT,잠실,21834.0,2025,8,5
2025-08-24,일,두산,KT,잠실,17905.0,2025,8,6
2025-08-26,화,두산,삼성,잠실,20491.0,2025,8,1
2025-08-27,수,두산,삼성,잠실,21198.0,2025,8,2
2025-08-28,목,두산,삼성,잠실,23126.0,2025,8,3
2025-08-29,금,LG,키움,잠실,22231.0,2025,8,4
2025-08-30,토,LG,키움,잠실,23750.0,2025,8,5
2025-08-31,일,LG,키움,잠실,22503.0,2025,8,6
2025-09-02,화,LG,롯데,잠실,23750.0,2025,9,1
2025-09-07,일,LG,SSG,잠실,23750.0,2025,9,6
2025-09-10,수,두산,LG,잠실,17856.0,2025,9,2
2025-09-11,목,LG,KT,잠실,20722.0,2025,9,3
2025-09-13,토,LG,KIA,잠실,23750.0,2025,9,5
2025-09-14,일,LG,KIA,잠실,23750.0,2025,9,6
2025-09-16,화,두산,키움,잠실,12716.0,2025,9,1
2025-09-17,수,두산,키움,잠실,10037.0,2025,9,2
2025-09-18,목,두산,키움,잠실,13498.0,2025,9,3
2025-09-20,토,LG,삼성,잠실,23750.0,2025,9,5
2025-09-25,목,두산,한화,잠실,23750.0,2025,9,3
2025-09-26,금,두산,NC,잠실,18418.0,2025,9,4
2025-09-27,토,두산,SSG,잠실,23750.0,2025,9,5
2025-09-28,일,두산,롯데,잠실,23750.0,2025,9,6
2025-09-30,화,LG,두산,잠실,23750.0,2025,9,1
2025-10-01,수,LG,NC,잠실,23750.0,2025,10,2
