날짜,시간,경기,게임센터,하이라이트,TV,라디오,구장,비고
04.08(화),18:30,한화5vs6두산,리뷰,하이라이트,SS-T,,잠실,-
,18:30,KIA5vs4롯데,리뷰,하이라이트,SPO-T,,사직,-
,18:30,SSG3vs7삼성,리뷰,하이라이트,TVING,,대구,-
,18:30,NC2vs3KT,리뷰,하이라이트,MS-T,,수원,-
,18:30,LG13vs1키움,리뷰,하이라이트,SPO-2T,,고척,-
04.09(수),18:30,한화5vs4두산,리뷰,하이라이트,SS-T,,잠실,-
,18:30,KIA3vs1롯데,리뷰,하이라이트,SPO-T,,사직,-
,18:30,SSG3vs1삼성,리뷰,하이라이트,KN-T,,대구,-
,18:30,NC1vs4KT,리뷰,하이라이트,MS-T,,수원,-
,18:30,LG0vs4키움,리뷰,하이라이트,SPO-2T,,고척,-
04.10(목),18:30,한화7vs2두산,리뷰,하이라이트,SS-T,,잠실,-
,18:30,KIA3vs8롯데,리뷰,하이라이트,SPO-T,,사직,-
,18:30,SSG2vs3삼성,리뷰,하이라이트,KN-T,,대구,-
,18:30,NC7vs0KT,리뷰,하이라이트,MS-T,,수원,-
,18:30,LG7vs3키움,리뷰,하이라이트,SPO-2T,,고척,-
04.11(금),18:30,두산2vs5LG,리뷰,하이라이트,SPO-T,,잠실,-
,18:30,롯데7vs5NC,리뷰,하이라이트,KN-T,,사직,-
,18:30,삼성3vs5KT,리뷰,하이라이트,SPO-2T,,수원,-
,18:30,SSG9vs3KIA,리뷰,하이라이트,MS-T,,광주,-
,18:30,키움2vs12한화,리뷰,하이라이트,SS-T,,대전,-
04.12(토),14:00,두산0vs4LG,리뷰,하이라이트,S-T,,잠실,-
,14:00,삼성vsKT,,,K-2T,,수원,우천취소
,17:00,롯데2vs0NC,리뷰,하이라이트,SPO-2T,,사직,-
,,,,,KN-T,,,
,17:00,SSGvsKIA,,,MS-T,,광주,우천취소
,17:00,키움6vs2한화,리뷰,하이라이트,SPO-T,,대전,-
,,,,,SS-T,,,
04.13(일),14:00,두산9vs2LG,리뷰,하이라이트,M-T,,잠실,-
,14:00,롯데6vs9NC,리뷰,하이라이트,SS-T,,사직,-
,14:00,삼성5vs6KT,리뷰,하이라이트,SPO-2T,,수원,-
,,,,,KN-T,,,
,14:00,SSG5vs11KIA,리뷰,하이라이트,MS-T,,광주,-
,14:00,키움1vs7한화,리뷰,하이라이트,SPO-T,,대전,-
04.15(화),18:30,삼성0vs3LG,리뷰,하이라이트,MS-T,,잠실,-
,18:30,한화2vs0SSG,리뷰,하이라이트,SPO-T,,문학,-
,18:30,키움6vs8롯데,리뷰,하이라이트,SS-T,,사직,-
,,,,,SPO-2T,,,
,18:30,두산vsNC,,,,,창원,기타
,18:30,KT0vs1KIA,리뷰,하이라이트,KN-T,,광주,-
04.16(수),18:30,삼성2vs12LG,리뷰,하이라이트,MS-T,,잠실,-
,18:30,한화10vs4SSG,리뷰,하이라이트,SPO-T,,문학,-
,18:30,키움4vs6롯데,리뷰,하이라이트,SS-T,,사직,-
,,,,,SPO-2T,,,
,18:30,두산vsNC,,,,,창원,기타
,18:30,KT3vs0KIA,리뷰,하이라이트,KN-T,,광주,-
04.17(목),18:30,삼성6vs3LG,리뷰,하이라이트,MS-T,,잠실,-
,18:30,한화4vs2SSG,리뷰,하이라이트,SPO-T,,문학,-
,18:30,키움1vs7롯데,리뷰,하이라이트,SS-T,,사직,-
,,,,,SPO-2T,,,
,18:30,두산vsNC,,,,,창원,기타
,18:30,KT4vs5KIA,리뷰,하이라이트,KN-T,,광주,-
04.18(금),18:30,KIA1vs7두산,리뷰,하이라이트,SPO-2T,,잠실,-
,18:30,LG5vs1SSG,리뷰,하이라이트,SPO-T,,문학,-
,18:30,롯데8vs1삼성,리뷰,하이라이트,KN-T,,대구,-
,18:30,KT3vs4키움,리뷰,하이라이트,SS-T,,고척,-
,18:30,NC4vs12한화,리뷰,하이라이트,MS-T,,대전,-
04.19(토),14:00,KIA8vs4두산,리뷰,하이라이트,S-T,,잠실,-
